student_id,Topic,Subtopic,lapse_score,knowledge_score,interest_score,lapse_category,knowledge_category,interest_category,last_interaction_date
80,Climate Change and Sustainability,Regenerative Agriculture,92.0,90.0,27.0,Not lapsed,Extremely high knowledge,Low interest,2026-05-31
80,Climate Change and Sustainability,Industrial Decarbonization,35.0,53.0,34.0,Highly lapsed,Moderate knowledge,Low interest,2026-05-30
80,Climate Change and Sustainability,Biodiversity Conservation,44.0,26.0,78.0,Moderately lapsed,Low knowledge,High interest,2026-05-30
80,Climate Change and Sustainability,Sustainable Architecture (Green Building),57.0,28.0,87.0,Moderately lapsed,Low knowledge,Extremely high interest,2026-05-30
80,Climate Change and Sustainability,Fast Fashion vs. Slow Fashion,14.0,28.0,32.0,Extremely lapsed,Low knowledge,Low interest,2026-05-30
80,Climate Change and Sustainability,Microplastic Pollution,75.0,43.0,91.0,Slightly lapsed,Moderate knowledge,Extremely high interest,2026-05-31
80,Climate Change and Sustainability,Carbon Credit Market,93.0,47.0,86.0,Not lapsed,Moderate knowledge,Extremely high interest,2026-05-31
80,Space Exploration,Colonization of Mars,58.0,54.0,64.0,Moderately lapsed,Moderate knowledge,High interest,2026-05-30
80,Space Exploration,Commercial Space Tourism,9.0,14.0,11.0,Extremely lapsed,Extremely low knowledge,Extremely low interest,2026-05-30
80,Space Exploration,Asteroid Mining,63.0,62.0,52.0,Slightly lapsed,High knowledge,Moderate interest,2026-05-30
80,Space Exploration,Space Telescopes (James Webb and successors),76.81239793622903,83.8,99.0,Slightly lapsed,Extremely high knowledge,Extremely high interest,2026-06-11 12:41:53
80,Space Exploration,Ion and Nuclear Propulsion,58.0,87.0,90.0,Moderately lapsed,Extremely high knowledge,Extremely high interest,2026-05-30
80,Space Exploration,Search for Extraterrestrial Life (SETI),51.0,88.0,100.0,Moderately lapsed,Extremely high knowledge,Extremely high interest,2026-05-30
80,Space Exploration,Private Space Stations,38.0,39.0,86.0,Highly lapsed,Low knowledge,Extremely high interest,2026-05-30
80,Space Exploration,Space Debris (Kessler Syndrome),8.0,68.0,9.0,Extremely lapsed,High knowledge,Extremely low interest,2026-05-29
80,Space Exploration,Artemis and the Return to the Moon,67.0,82.0,100.0,Slightly lapsed,Extremely high knowledge,Extremely high interest,2026-05-31
80,Space Exploration,Exophysics and Habitable Planets,59.0,46.0,77.0,Moderately lapsed,Moderate knowledge,High interest,2026-05-30
80,Mental Health and Wellness,Neuroplasticity and Habits,40.0,78.0,91.0,Highly lapsed,High knowledge,Extremely high interest,2026-05-30
80,Mental Health and Wellness,Impact of Social Media on the Psyche,41.0,12.0,98.0,Moderately lapsed,Extremely low knowledge,Extremely high interest,2026-05-30
80,Mental Health and Wellness,Meditation and Mindfulness,46.0,13.0,70.0,Moderately lapsed,Extremely low knowledge,High interest,2026-05-30
80,Mental Health and Wellness,Anxiety Disorders in the Digital Age,31.0,69.0,62.0,Highly lapsed,High knowledge,High interest,2026-05-30
80,Mental Health and Wellness,Biohacking and Sleep Optimization,70.0,95.0,27.0,Slightly lapsed,Extremely high knowledge,Low interest,2026-05-31
80,Mental Health and Wellness,Psychedelic-Assisted Therapy,25.0,27.0,11.0,Highly lapsed,Low knowledge,Extremely low interest,2026-05-30
80,Mental Health and Wellness,Occupational Burnout,8.0,52.0,14.0,Extremely lapsed,Moderate knowledge,Extremely low interest,2026-05-29
80,Mental Health and Wellness,Positive Psychology,45.0,9.0,32.0,Moderately lapsed,Extremely low knowledge,Low interest,2026-05-30
80,Mental Health and Wellness,Nutrition and the Gut-Brain Axis,84.0,75.0,39.0,Not lapsed,High knowledge,Low interest,2026-05-31
80,Mental Health and Wellness,Emotional Resilience,72.0,36.0,30.0,Slightly lapsed,Low knowledge,Low interest,2026-05-31
80,Finance and New Economies,Cryptocurrencies and Blockchain,71.0,81.0,61.0,Slightly lapsed,Extremely high knowledge,High interest,2026-05-31
80,Finance and New Economies,Decentralized Finance (DeFi),57.0,63.0,97.0,Moderately lapsed,High knowledge,Extremely high interest,2026-05-30
80,Finance and New Economies,"ESG Investments (Environmental, Social, Governance)",20.0,18.0,51.0,Extremely lapsed,Extremely low knowledge,Moderate interest,2026-05-30
80,Finance and New Economies,Inflation and Monetary Policies,72.0,50.0,33.0,Slightly lapsed,Moderate knowledge,Low interest,2026-05-31
80,Finance and New Economies,Universal Basic Income (UBI),17.0,46.0,33.0,Extremely lapsed,Moderate knowledge,Low interest,2026-05-30
80,Finance and New Economies,Gig Economy and Workers' Rights,33.0,87.0,32.0,Highly lapsed,Extremely high knowledge,Low interest,2026-05-30
80,Finance and New Economies,Emerging Markets (BRICS+),22.0,53.0,53.0,Highly lapsed,Moderate knowledge,Moderate interest,2026-05-30
80,Finance and New Economies,Algorithmic Trading,86.0,63.0,62.0,Not lapsed,High knowledge,High interest,2026-05-31
80,Finance and New Economies,E-commerce and New Retail Models,3.0,18.0,3.0,Extremely lapsed,Extremely low knowledge,Extremely low interest,2026-05-29
80,Finance and New Economies,Financial Cybersecurity,29.0,15.0,59.0,Highly lapsed,Extremely low knowledge,Moderate interest,2026-05-30
80,History of Ancient Civilizations,The Egypt of the Pharaohs,24.0,85.0,1.0,Highly lapsed,Extremely high knowledge,Extremely low interest,2026-05-30
80,History of Ancient Civilizations,Greek Philosophy and Democracy,52.0,53.0,83.0,Moderately lapsed,Moderate knowledge,Extremely high interest,2026-05-30
80,History of Ancient Civilizations,The Roman Empire: Rise and Fall,15.0,38.0,69.0,Extremely lapsed,Low knowledge,High interest,2026-05-30
80,History of Ancient Civilizations,"Pre-Columbian Civilizations (Maya, Aztecs, Inca)",7.0,3.0,10.0,Extremely lapsed,Extremely low knowledge,Extremely low interest,2026-05-29
80,History of Ancient Civilizations,The Silk Road and Cultural Exchange,39.0,32.0,33.0,Highly lapsed,Low knowledge,Low interest,2026-05-30
80,History of Ancient Civilizations,The Chinese Imperial Dynasties,5.0,15.0,67.0,Extremely lapsed,Extremely low knowledge,High interest,2026-05-29
80,History of Ancient Civilizations,Mesopotamia: The Cradle of Writing,49.0,48.0,60.0,Moderately lapsed,Moderate knowledge,Moderate interest,2026-05-30
80,History of Ancient Civilizations,The Vikings and Norse Expansion,59.0,46.0,4.0,Moderately lapsed,Moderate knowledge,Extremely low interest,2026-05-30
80,History of Ancient Civilizations,The Islamic Golden Age,15.0,73.0,28.0,Extremely lapsed,High knowledge,Low interest,2026-05-30
80,History of Ancient Civilizations,Underwater Archaeology,53.0,7.0,83.0,Moderately lapsed,Extremely low knowledge,Extremely high interest,2026-05-30
80,Biotechnology and Genetics,Genomic Editing (CRISPR),70.0,27.0,94.0,Slightly lapsed,Low knowledge,Extremely high interest,2026-05-31
80,Biotechnology and Genetics,Tissue Engineering and Synthetic Organs,68.0,9.0,42.0,Slightly lapsed,Extremely low knowledge,Moderate interest,2026-05-31
80,Biotechnology and Genetics,Longevity and Anti-aging Medicine,45.0,8.0,67.0,Moderately lapsed,Extremely low knowledge,High interest,2026-05-30
80,Biotechnology and Genetics,mRNA Vaccines and Gene Therapies,37.0,98.0,8.0,Highly lapsed,Extremely high knowledge,Extremely low interest,2026-05-30
80,Biotechnology and Genetics,Bioethics and Cloning,42.0,26.0,73.0,Moderately lapsed,Low knowledge,High interest,2026-05-30
80,Biotechnology and Genetics,Human Microbiome,94.0,76.0,20.0,Not lapsed,High knowledge,Extremely low interest,2026-05-31
80,Biotechnology and Genetics,GMOs and Food Security,7.0,18.0,53.0,Extremely lapsed,Extremely low knowledge,Moderate interest,2026-05-29
80,Biotechnology and Genetics,Early Molecular Diagnostics,83.0,69.0,14.0,Not lapsed,High knowledge,Extremely low interest,2026-05-31
80,Biotechnology and Genetics,Brain-Computer Interfaces (Neuralink),78.0,25.0,39.0,Slightly lapsed,Low knowledge,Low interest,2026-05-31
80,Biotechnology and Genetics,DNA Synthesis,41.0,1.0,61.0,Moderately lapsed,Extremely low knowledge,High interest,2026-05-30
80,Philosophy and Critical Thinking,Stoicism and Modern Application,15.0,87.0,41.0,Extremely lapsed,Extremely high knowledge,Moderate interest,2026-05-30
80,Philosophy and Critical Thinking,Existentialism and the Search for Meaning,43.0,60.0,23.0,Moderately lapsed,Moderate knowledge,Low interest,2026-05-30
80,Philosophy and Critical Thinking,Utilitarian vs. Deontological Ethics,38.0,30.0,28.0,Highly lapsed,Low knowledge,Low interest,2026-05-30
80,Philosophy and Critical Thinking,Philosophy of Mind,41.0,15.0,10.0,Moderately lapsed,Extremely low knowledge,Extremely low interest,2026-05-30
80,Philosophy and Critical Thinking,Posthumanism and Transhumanism,66.0,4.0,92.0,Slightly lapsed,Extremely low knowledge,Extremely high interest,2026-05-31
80,Philosophy and Critical Thinking,Logic and Argumentative Fallacies,54.0,26.0,54.0,Moderately lapsed,Low knowledge,Moderate interest,2026-05-30
80,Philosophy and Critical Thinking,Political Philosophy: From the Social Contract to Today,50.0,29.0,38.0,Moderately lapsed,Low knowledge,Low interest,2026-05-30
80,Philosophy and Critical Thinking,Aesthetics and the Concept of Beauty,75.0,16.0,49.0,Slightly lapsed,Extremely low knowledge,Moderate interest,2026-05-31
80,Philosophy and Critical Thinking,Nihilism and Liquid Society,41.0,14.0,96.0,Moderately lapsed,Extremely low knowledge,Extremely high interest,2026-05-30
80,Philosophy and Critical Thinking,Epistemology: What Can We Know?,28.0,77.0,90.0,Highly lapsed,High knowledge,Extremely high interest,2026-05-30
80,Cybersecurity and Privacy,Ethical Hacking and Penetration Testing,46.0,40.0,37.0,Moderately lapsed,Low knowledge,Low interest,2026-05-30
80,Cybersecurity and Privacy,Quantum Cryptography,91.0,37.0,36.0,Not lapsed,Low knowledge,Low interest,2026-05-31
80,Cybersecurity and Privacy,Cyber Warfare,86.0,37.0,80.0,Not lapsed,Low knowledge,High interest,2026-05-31
80,Cybersecurity and Privacy,Personal Data Protection (GDPR),20.0,1.0,48.0,Extremely lapsed,Extremely low knowledge,Moderate interest,2026-05-30
80,Cybersecurity and Privacy,Deepfakes and Disinformation,38.0,40.0,33.0,Highly lapsed,Low knowledge,Low interest,2026-05-30
80,Cybersecurity and Privacy,Internet of Things (IoT) Security,56.0,67.0,56.0,Moderately lapsed,High knowledge,Moderate interest,2026-05-30
80,Cybersecurity and Privacy,Social Engineering and Phishing,26.0,97.0,9.0,Highly lapsed,Extremely high knowledge,Extremely low interest,2026-05-30
80,Cybersecurity and Privacy,Online Anonymity and the Dark Web,41.0,45.0,15.0,Moderately lapsed,Moderate knowledge,Extremely low interest,2026-05-30
80,Cybersecurity and Privacy,Digital Identity and Biometrics,41.0,66.0,19.0,Moderately lapsed,High knowledge,Extremely low interest,2026-05-30
80,Cybersecurity and Privacy,Ransomware and Threats to Infrastructure,2.0,92.0,25.0,Extremely lapsed,Extremely high knowledge,Low interest,2026-05-29
80,Future of Cities (Urban Planning),Smart Cities and Urban Sensors,75.0,2.0,41.0,Slightly lapsed,Extremely low knowledge,Moderate interest,2026-05-31
80,Future of Cities (Urban Planning),15-Minute Cities,94.0,49.0,53.0,Not lapsed,Moderate knowledge,Moderate interest,2026-05-31
80,Future of Cities (Urban Planning),Urban Vertical Farming,3.0,79.0,19.0,Extremely lapsed,High knowledge,Extremely low interest,2026-05-29
80,Future of Cities (Urban Planning),Smart Waste Management,61.0,98.0,59.0,Slightly lapsed,Extremely high knowledge,Moderate interest,2026-05-30
80,Future of Cities (Urban Planning),Autonomous Public Transport,61.0,3.0,9.0,Slightly lapsed,Extremely low knowledge,Extremely low interest,2026-05-30
80,Future of Cities (Urban Planning),Regeneration of Suburbs,96.0,59.0,100.0,Not lapsed,Moderate knowledge,Extremely high interest,2026-05-31
80,Future of Cities (Urban Planning),Tactical Urbanism,68.0,31.0,39.0,Slightly lapsed,Low knowledge,Low interest,2026-05-31
80,Future of Cities (Urban Planning),Flood Resilience (Sponge Cities),93.0,4.0,53.0,Not lapsed,Extremely low knowledge,Moderate interest,2026-05-31
80,Future of Cities (Urban Planning),Co-housing and New Ways of Living,72.0,98.0,82.0,Slightly lapsed,Extremely high knowledge,Extremely high interest,2026-05-31
80,Future of Cities (Urban Planning),Light and Noise Pollution,40.0,100.0,26.0,Highly lapsed,Extremely high knowledge,Low interest,2026-05-30
80,Social and Behavioral Psychology,Group Dynamics and Conformity,47.0,30.0,95.0,Moderately lapsed,Low knowledge,Extremely high interest,2026-05-30
80,Social and Behavioral Psychology,Psychology of Crowds,65.0,58.0,100.0,Slightly lapsed,Moderate knowledge,Extremely high interest,2026-05-31
80,Social and Behavioral Psychology,Cognitive Biases,67.0,19.0,67.0,Slightly lapsed,Extremely low knowledge,High interest,2026-05-31
80,Social and Behavioral Psychology,Non-verbal Communication,75.0,70.0,9.0,Slightly lapsed,High knowledge,Extremely low interest,2026-05-31
80,Social and Behavioral Psychology,Persuasion and Sensory Marketing,58.0,22.0,81.0,Moderately lapsed,Low knowledge,Extremely high interest,2026-05-30
80,Social and Behavioral Psychology,Game Theory Applied to Social Sciences,22.0,73.0,31.0,Highly lapsed,High knowledge,Low interest,2026-05-30
80,Social and Behavioral Psychology,Empathy and Mirror Neurons,81.27139849737075,49.120000000000005,34.959999999999994,Not lapsed,Moderate knowledge,Low interest,2026-06-11 16:26:09
80,Social and Behavioral Psychology,Leadership and Charisma,38.0,46.0,10.0,Highly lapsed,Moderate knowledge,Extremely low interest,2026-05-30
80,Social and Behavioral Psychology,Conflict Resolution,95.0,28.0,64.0,Not lapsed,Low knowledge,High interest,2026-05-31
80,Social and Behavioral Psychology,Consumer Psychology,39.0,69.0,39.0,Highly lapsed,High knowledge,Low interest,2026-05-30
80,Materials Science,Graphene and Nanomaterials,71.0,67.0,7.0,Slightly lapsed,High knowledge,Extremely low interest,2026-05-31
80,Materials Science,Biodegradable Plastics,88.0,93.0,39.0,Not lapsed,Extremely high knowledge,Low interest,2026-05-31
80,Materials Science,Self-healing Materials,61.0,5.0,62.0,Slightly lapsed,Extremely low knowledge,High interest,2026-05-30
80,Materials Science,Room-temperature Superconductors,58.0,69.0,47.0,Moderately lapsed,High knowledge,Moderate interest,2026-05-30
80,Materials Science,Aerogels and Extreme Insulation,54.0,41.0,93.0,Moderately lapsed,Moderate knowledge,Extremely high interest,2026-05-30
80,Materials Science,Metamaterials and Invisibility,64.0,71.0,18.0,Slightly lapsed,High knowledge,Extremely low interest,2026-05-31
80,Materials Science,3D Printing of Metals and Ceramics,11.0,3.0,70.0,Extremely lapsed,Extremely low knowledge,High interest,2026-05-30
80,Materials Science,Light Alloys for Aerospace,88.0,23.0,28.0,Not lapsed,Low knowledge,Low interest,2026-05-31
80,Materials Science,Materials for Energy Storage,2.0,47.0,60.0,Extremely lapsed,Moderate knowledge,Moderate interest,2026-05-29
80,Materials Science,Biomimetics: Nature-inspired Materials,75.0,18.0,75.0,Slightly lapsed,Extremely low knowledge,High interest,2026-05-31
80,Cinema and Storytelling,Evolution of Narrative (from Myths to TV Series),71.0,9.0,42.0,Slightly lapsed,Extremely low knowledge,Moderate interest,2026-05-31
80,Cinema and Storytelling,"The ""Hero's Journey"" Theory",41.0,24.0,74.0,Moderately lapsed,Low knowledge,High interest,2026-05-30
80,Cinema and Storytelling,Directing and Framing Language,50.0,48.0,40.0,Moderately lapsed,Moderate knowledge,Low interest,2026-05-30
80,Cinema and Storytelling,Visual Effects (VFX) and CGI,25.0,7.0,85.0,Highly lapsed,Extremely low knowledge,Extremely high interest,2026-05-30
80,Cinema and Storytelling,Editing as Emotional Rhythm,78.0,19.0,23.0,Slightly lapsed,Extremely low knowledge,Low interest,2026-05-31
80,Cinema and Storytelling,Auteur Cinema vs. Blockbuster,4.0,4.0,35.0,Extremely lapsed,Extremely low knowledge,Low interest,2026-05-29
80,Cinema and Storytelling,Screenwriting and Dialogues,11.0,47.0,16.0,Extremely lapsed,Moderate knowledge,Extremely low interest,2026-05-30
80,Cinema and Storytelling,Sound Design in Cinema,39.0,67.0,33.0,Highly lapsed,High knowledge,Low interest,2026-05-30
80,Cinema and Storytelling,New Streaming and Distribution Platforms,35.0,40.0,45.0,Highly lapsed,Low knowledge,Moderate interest,2026-05-30
80,Cinema and Storytelling,Narrative Virtual Reality (VR),34.0,96.0,18.0,Highly lapsed,Extremely high knowledge,Extremely low interest,2026-05-30
80,Contemporary Geopolitics,New Technological Cold War (USA-China),33.0,81.0,95.0,Highly lapsed,Extremely high knowledge,Extremely high interest,2026-05-30
80,Contemporary Geopolitics,Conflicts over Water Resources,62.0,33.0,32.0,Slightly lapsed,Low knowledge,Low interest,2026-05-30
80,Contemporary Geopolitics,Energy Sovereignty in Europe,74.0,98.0,65.0,Slightly lapsed,Extremely high knowledge,High interest,2026-05-31
80,Contemporary Geopolitics,The Rise of India as a Global Power,21.0,6.0,21.0,Highly lapsed,Extremely low knowledge,Low interest,2026-05-30
80,Contemporary Geopolitics,The Role of the United Nations in the 21st Century,45.0,42.0,51.0,Moderately lapsed,Moderate knowledge,Moderate interest,2026-05-30
80,Contemporary Geopolitics,Cyber Espionage between States,21.0,71.0,66.0,Highly lapsed,High knowledge,High interest,2026-05-30
80,Contemporary Geopolitics,Migrations and Demographic Changes,99.0,59.0,53.0,Not lapsed,Moderate knowledge,Moderate interest,2026-05-31
80,Contemporary Geopolitics,Geopolitics of the Arctic,86.0,47.0,52.0,Not lapsed,Moderate knowledge,Moderate interest,2026-05-31
80,Contemporary Geopolitics,"Military Alliances (NATO, AUKUS)",29.0,22.0,47.0,Highly lapsed,Low knowledge,Moderate interest,2026-05-30
80,Contemporary Geopolitics,Soft Power and Cultural Diplomacy,49.0,20.0,47.0,Moderately lapsed,Extremely low knowledge,Moderate interest,2026-05-30
80,Music and Sound Design,History of Jazz and Blues,14.0,14.0,28.0,Extremely lapsed,Extremely low knowledge,Low interest,2026-05-30
80,Music and Sound Design,Electronic Music Production,74.0,17.0,34.0,Slightly lapsed,Extremely low knowledge,Low interest,2026-05-31
80,Music and Sound Design,Psychoacoustics: How We Perceive Sound,100.0,48.0,29.0,Not lapsed,Moderate knowledge,Low interest,2026-05-31
80,Music and Sound Design,Music Recommendation Algorithms,2.0,99.0,3.0,Extremely lapsed,Extremely high knowledge,Extremely low interest,2026-05-29
80,Music and Sound Design,Sound Synthesis and Sampling,2.0,27.0,92.0,Extremely lapsed,Low knowledge,Extremely high interest,2026-05-29
80,Music and Sound Design,Music as Therapy,98.0,98.0,43.0,Not lapsed,Extremely high knowledge,Moderate interest,2026-05-31
80,Music and Sound Design,Evolution of Musical Instruments,56.0,54.0,74.0,Moderately lapsed,Moderate knowledge,High interest,2026-05-30
80,Music and Sound Design,Copyright and Streaming in the Music Industry,44.0,2.0,5.0,Moderately lapsed,Extremely low knowledge,Extremely low interest,2026-05-30
80,Music and Sound Design,Sound Design for Video Games,9.0,61.0,96.0,Extremely lapsed,High knowledge,Extremely high interest,2026-05-30
80,Music and Sound Design,Ethnomusicology,88.0,40.0,9.0,Not lapsed,Low knowledge,Extremely low interest,2026-05-31
80,Nutrition and Food Science,Ketogenic Diet and Intermittent Fasting,82.0,95.0,58.0,Not lapsed,Extremely high knowledge,Moderate interest,2026-05-31
80,Nutrition and Food Science,Functional Foods and Nutraceuticals,30.0,5.0,16.0,Highly lapsed,Extremely low knowledge,Extremely low interest,2026-05-30
80,Nutrition and Food Science,Impact of Lab-grown Meat,1.0,95.0,62.0,Extremely lapsed,Extremely high knowledge,High interest,2026-05-29
80,Nutrition and Food Science,Microbiota and Immune Health,73.0,61.0,64.0,Slightly lapsed,High knowledge,High interest,2026-05-31
80,Nutrition and Food Science,Modern Food Intolerances and Allergies,62.0,35.0,92.0,Slightly lapsed,Low knowledge,Extremely high interest,2026-05-30
80,Nutrition and Food Science,Refined Sugars and Metabolic Syndrome,85.0,83.0,39.0,Not lapsed,Extremely high knowledge,Low interest,2026-05-31
80,Nutrition and Food Science,Plant Proteins and the Future of Food,18.0,86.0,55.0,Extremely lapsed,Extremely high knowledge,Moderate interest,2026-05-30
80,Nutrition and Food Science,Molecular Gastronomy,2.0,98.0,87.0,Extremely lapsed,Extremely high knowledge,Extremely high interest,2026-05-29
80,Nutrition and Food Science,Global Food Security,97.0,88.0,13.0,Not lapsed,Extremely high knowledge,Extremely low interest,2026-05-31
80,Nutrition and Food Science,Hydration and Cognitive Performance,45.0,39.0,20.0,Moderately lapsed,Low knowledge,Extremely low interest,2026-05-30
80,Literature and Writing,The Dystopian Genre in the 20th Century,10.0,19.0,52.0,Extremely lapsed,Extremely low knowledge,Moderate interest,2026-05-30
80,Literature and Writing,Contemporary Poetry and Slam Poetry,75.0,72.0,15.0,Slightly lapsed,High knowledge,Extremely low interest,2026-05-31
80,Literature and Writing,Creative Writing and World-building,79.84246690131357,94.2,91.8,Slightly lapsed,Extremely high knowledge,Extremely high interest,2026-06-11 12:38:37
80,Literature and Writing,Post-colonial Literature,30.0,43.0,23.0,Highly lapsed,Moderate knowledge,Low interest,2026-05-30
80,Literature and Writing,The Role of Literary Prizes,50.0,64.0,94.0,Moderately lapsed,High knowledge,Extremely high interest,2026-05-30
80,Literature and Writing,Self-publishing and the Digital Revolution,45.0,73.0,32.0,Moderately lapsed,High knowledge,Low interest,2026-05-30
80,Literature and Writing,Textual Analysis and Literary Criticism,92.0,7.0,100.0,Not lapsed,Extremely low knowledge,Extremely high interest,2026-05-31
80,Literature and Writing,Children's Literature and Education,12.0,27.0,45.0,Extremely lapsed,Low knowledge,Moderate interest,2026-05-30
80,Literature and Writing,Historical Novel vs. Magical Realism,78.0,94.0,99.0,Slightly lapsed,Extremely high knowledge,Extremely high interest,2026-05-31
80,Literature and Writing,Editorial Translation and Linguistic Challenges,52.0,88.0,44.0,Moderately lapsed,Extremely high knowledge,Moderate interest,2026-05-30
80,Modern Physics,Quantum Mechanics and Entanglement,8.0,91.0,48.0,Extremely lapsed,Extremely high knowledge,Moderate interest,2026-05-29
80,Modern Physics,Einstein's General Relativity,70.46911625748515,58.864,72.8,Slightly lapsed,Moderate knowledge,High interest,2026-06-11 16:20:20
80,Modern Physics,Dark Matter and Dark Energy,32.0,46.0,65.0,Highly lapsed,Moderate knowledge,High interest,2026-05-30
80,Modern Physics,Particle Physics (CERN),97.0,90.0,85.0,Not lapsed,Extremely high knowledge,Extremely high interest,2026-05-31
80,Modern Physics,String Theory,68.0,33.0,97.0,Slightly lapsed,Low knowledge,Extremely high interest,2026-05-31
80,Modern Physics,Thermodynamics and the Arrow of Time,14.0,15.0,22.0,Extremely lapsed,Extremely low knowledge,Low interest,2026-05-30
80,Modern Physics,Controlled Nuclear Fusion,10.0,76.0,50.0,Extremely lapsed,High knowledge,Moderate interest,2026-05-30
80,Modern Physics,Gravitational Waves,30.0,88.0,9.0,Highly lapsed,Extremely high knowledge,Extremely low interest,2026-05-30
80,Modern Physics,Multiverse and Inflationary Cosmology,84.0,7.0,29.0,Not lapsed,Extremely low knowledge,Low interest,2026-05-31
