Topic,Subtopic,lapse_score,knowledge_score
Cambiamento Climatico e Sostenibilità,Fast Fashion vs. Slow Fashion,0.1,0.1
Cambiamento Climatico e Sostenibilità,Inquinamento da microplastiche,0.1,0.1
Cambiamento Climatico e Sostenibilità,Mercato dei crediti di carbonio,0.1,0.1
Esplorazione Spaziale,Colonizzazione di Marte,0.1,0.1
Esplorazione Spaziale,Turismo spaziale commerciale,0.1,0.1
Esplorazione Spaziale,Mining degli asteroidi,0.1,0.1
Esplorazione Spaziale,Telescopi spaziali (James Webb e successori),0.1,0.1
Esplorazione Spaziale,Propulsione a ioni e nucleare,0.1,0.1
Esplorazione Spaziale,Ricerca di vita extraterrestre (SETI),0.1,0.1
Esplorazione Spaziale,Stazioni spaziali private,0.1,0.1
Esplorazione Spaziale,Detriti spaziali (Kessler Syndrome),0.1,0.1
Esplorazione Spaziale,Artemis e il ritorno sulla Luna,0.1,0.1
Esplorazione Spaziale,Esofisica e pianeti abitabili,0.1,0.1
Salute Mentale e Benessere,Neuroplasticità e abitudini,0.1,0.1
Salute Mentale e Benessere,Impatto dei social media sulla psiche,0.1,0.1
Salute Mentale e Benessere,Meditazione e Mindfulness,0.1,0.1
Salute Mentale e Benessere,Disturbi dell'ansia nell'era digitale,0.1,0.1
Salute Mentale e Benessere,Biohacking e ottimizzazione del sonno,0.1,0.1
Salute Mentale e Benessere,Terapia assistita da psichedelici,0.1,0.1
Salute Mentale e Benessere,Burnout professionale,0.1,0.1
Salute Mentale e Benessere,Psicologia positiva,0.1,0.1
Salute Mentale e Benessere,Nutrizione e asse intestino-cervello,0.1,0.1
Salute Mentale e Benessere,Resilienza emotiva,0.1,0.1
Finanza e Nuove Economie,Criptovalute e Blockchain,0.1,0.1
Finanza e Nuove Economie,Finanza Decentralizzata (DeFi),0.1,0.1
Finanza e Nuove Economie,"Investimenti ESG (Environmental, Social, Governance)",0.1,0.1
Finanza e Nuove Economie,Inflazione e politiche monetarie,0.1,0.1
Finanza e Nuove Economie,Universal Basic Income (Reddito di base),0.1,0.1
Finanza e Nuove Economie,Gig Economy e diritti dei lavoratori,0.1,0.1
Finanza e Nuove Economie,Mercati emergenti (BRICS+),0.1,0.1
Finanza e Nuove Economie,Trading algoritmico,0.1,0.1
Finanza e Nuove Economie,E-commerce e nuovi modelli di retail,0.1,0.1
Finanza e Nuove Economie,Cybersecurity finanziaria,0.1,0.1
Storia delle Civiltà Antiche,L'Egitto dei Faraoni,0.1,0.1
Storia delle Civiltà Antiche,La filosofia e la democrazia greca,0.1,0.1
Storia delle Civiltà Antiche,L'Impero Romano: ascesa e caduta,0.1,0.1
Storia delle Civiltà Antiche,"Le civiltà precolombiane (Maya, Aztechi, Inca)",0.1,0.1
Storia delle Civiltà Antiche,La Via della Seta e gli scambi culturali,0.1,0.1
Storia delle Civiltà Antiche,Le dinastie imperiali cinesi,0.1,0.1
Storia delle Civiltà Antiche,Mesopotamia: la culla della scrittura,0.1,0.1
Storia delle Civiltà Antiche,I Vichinghi e l'espansione norrena,0.1,0.1
Storia delle Civiltà Antiche,L'Età dell'Oro islamica,0.1,0.1
Storia delle Civiltà Antiche,Archeologia subacquea,0.1,0.1
Biotecnologie e Genetica,Editing genomico (CRISPR),0.1,0.1
Biotecnologie e Genetica,Ingegneria dei tessuti e organi sintetici,0.1,0.1
Biotecnologie e Genetica,Longevità e medicina anti-aging,0.1,0.1
Biotecnologie e Genetica,Vaccini a mRNA e terapie geniche,0.1,0.1
Biotecnologie e Genetica,Bioetica e clonazione,0.1,0.1
Biotecnologie e Genetica,Microbioma umano,0.1,0.1
Biotecnologie e Genetica,OGM e sicurezza alimentare,0.1,0.1
Biotecnologie e Genetica,Diagnostica molecolare precoce,0.1,0.1
Biotecnologie e Genetica,Interfacce cervello-computer (Neuralink),0.1,0.1
Biotecnologie e Genetica,Sintesi del DNA,0.1,0.1
Filosofia e Pensiero Critico,Stoicismo e applicazione moderna,0.1,0.1
Filosofia e Pensiero Critico,Esistenzialismo e ricerca di senso,0.1,0.1
Filosofia e Pensiero Critico,Etica utilitaristica vs. deontologica,0.1,0.1
Filosofia e Pensiero Critico,Filosofia della mente,0.1,0.1
Filosofia e Pensiero Critico,Post-umanesimo e Transumanesimo,0.1,0.1
Filosofia e Pensiero Critico,Logica e fallacie argomentative,0.1,0.1
Filosofia e Pensiero Critico,Filosofia politica: dal contratto sociale a oggi,0.1,0.1
Filosofia e Pensiero Critico,Estetica e concetto di bellezza,0.1,0.1
Filosofia e Pensiero Critico,Nichilismo e società liquida,0.1,0.1
Filosofia e Pensiero Critico,Epistemologia: cosa possiamo sapere?,0.1,0.1
Cybersecurity e Privacy,Hacking etico e penetration testing,0.1,0.1
Cybersecurity e Privacy,Crittografia quantistica,0.1,0.1
Cybersecurity e Privacy,Guerra cibernetica (Cyber warfare),0.1,0.1
Cybersecurity e Privacy,Protezione dei dati personali (GDPR),0.1,0.1
Cybersecurity e Privacy,Deepfake e disinformazione,0.1,0.1
Cybersecurity e Privacy,Internet of Things (IoT) security,0.1,0.1
Cybersecurity e Privacy,Social Engineering e phishing,0.1,0.1
Cybersecurity e Privacy,Anonimato in rete e Dark Web,0.1,0.1
Cybersecurity e Privacy,Identità digitale e biometria,0.1,0.1
Cybersecurity e Privacy,Ransomware e minacce alle infrastrutture,0.1,0.1
Futuro delle Città (Urbanistica),Smart Cities e sensori urbani,0.1,0.1
Futuro delle Città (Urbanistica),Città dei 15 minuti,0.1,0.1
Futuro delle Città (Urbanistica),Vertical Farming urbano,0.1,0.1
Futuro delle Città (Urbanistica),Gestione intelligente dei rifiuti,0.1,0.1
Futuro delle Città (Urbanistica),Trasporto pubblico autonomo,0.1,0.1
Futuro delle Città (Urbanistica),Rigenerazione delle periferie,0.1,0.1
Futuro delle Città (Urbanistica),Urbanistica tattica,0.1,0.1
Futuro delle Città (Urbanistica),Resilienza alle inondazioni (Città spugna),0.1,0.1
Futuro delle Città (Urbanistica),Co-housing e nuove forme di abitare,0.1,0.1
Futuro delle Città (Urbanistica),Inquinamento luminoso e acustico,0.1,0.1
Psicologia Sociale e Comportamentale,Dinamiche di gruppo e conformismo,0.1,0.1
Psicologia Sociale e Comportamentale,Psicologia delle folle,0.1,0.1
Psicologia Sociale e Comportamentale,Pregiudizi cognitivi (Cognitive biases),0.1,0.1
Psicologia Sociale e Comportamentale,Comunicazione non verbale,0.1,0.1
Psicologia Sociale e Comportamentale,Persuasione e marketing sensoriale,0.1,0.1
Psicologia Sociale e Comportamentale,Teoria dei giochi applicata al sociale,0.1,0.1
Psicologia Sociale e Comportamentale,Empatia e neuroni specchio,0.1,0.1
Psicologia Sociale e Comportamentale,Leadership e carisma,0.1,0.1
Psicologia Sociale e Comportamentale,Risoluzione dei conflitti,0.1,0.1
Psicologia Sociale e Comportamentale,Psicologia del consumatore,0.1,0.1
Scienza dei Materiali,Grafene e nanomateriali,0.1,0.1
Scienza dei Materiali,Plastiche biodegradabili,0.1,0.1
Scienza dei Materiali,Materiali autoriparanti,0.1,0.1
Scienza dei Materiali,Superconduttori a temperatura ambiente,0.1,0.1
Scienza dei Materiali,Aerogel e isolamento estremo,0.1,0.1
Scienza dei Materiali,Metamateriali e invisibilità,0.1,0.1
Scienza dei Materiali,Stampa 3D di metalli e ceramiche,0.1,0.1
Scienza dei Materiali,Leghe leggere per l'aerospazio,0.1,0.1
Scienza dei Materiali,Materiali per lo stoccaggio dell'energia,0.1,0.1
Scienza dei Materiali,Biomimetica: materiali ispirati alla natura,0.1,0.1
Cinema e Storytelling,Evoluzione della narrazione (dai miti alle serie TV),0.1,0.1
Cinema e Storytelling,"Teoria del ""Viaggio dell'Eroe""",0.1,0.1
Cinema e Storytelling,Regia e linguaggio dell'inquadratura,0.1,0.1
Cinema e Storytelling,Effetti visivi (VFX) e CGI,0.1,0.1
Cinema e Storytelling,Il montaggio come ritmo emotivo,0.1,0.1
Cinema e Storytelling,Cinema d'autore vs. Blockbuster,0.1,0.1
Cinema e Storytelling,Sceneggiatura e dialoghi,0.1,0.1
Cinema e Storytelling,Il design del suono nel cinema,0.1,0.1
Cinema e Storytelling,Nuove piattaforme di streaming e distribuzione,0.1,0.1
Cinema e Storytelling,Realtà Virtuale (VR) narrativa,0.1,0.1
Geopolitica Contemporanea,Nuova Guerra Fredda tecnologica (USA-Cina),0.1,0.1
Geopolitica Contemporanea,Conflitti per le risorse idriche,0.1,0.1
Geopolitica Contemporanea,Sovranità energetica in Europa,0.1,0.1
Geopolitica Contemporanea,L'ascesa dell'India come potenza globale,0.1,0.1
Geopolitica Contemporanea,Il ruolo delle Nazioni Unite nel XXI secolo,0.1,0.1
Geopolitica Contemporanea,Cyber-spionaggio tra stati,0.1,0.1
Geopolitica Contemporanea,Migrazioni e mutamenti demografici,0.1,0.1
Geopolitica Contemporanea,Geopolitica dell'Artico,0.1,0.1
Geopolitica Contemporanea,"Alleanze militari (NATO, AUKUS)",0.1,0.1
Geopolitica Contemporanea,Soft Power e diplomazia culturale,0.1,0.1
Musica e Sound Design,Storia del Jazz e della Blues,0.1,0.1
Musica e Sound Design,Produzione di musica elettronica,0.1,0.1
Musica e Sound Design,Psicoacustica: come percepiamo il suono,0.1,0.1
Musica e Sound Design,Algoritmi di raccomandazione musicale,0.1,0.1
Musica e Sound Design,Sintesi sonora e campionamento,0.1,0.1
Musica e Sound Design,La musica come terapia,0.1,0.1
Musica e Sound Design,Evoluzione degli strumenti musicali,0.1,0.1
Musica e Sound Design,Copyright e streaming nell'industria musicale,0.1,0.1
Musica e Sound Design,Sound design per videogiochi,0.1,0.1
Musica e Sound Design,Etnomusicologia,0.1,0.1
Nutrizione e Scienza dell'Alimentazione,Dieta chetogenica e digiuno intermittente,0.1,0.1
Nutrizione e Scienza dell'Alimentazione,Alimenti funzionali e nutraceutica,0.1,0.1
Nutrizione e Scienza dell'Alimentazione,Impatto della carne coltivata (Lab-grown meat),0.1,0.1
Nutrizione e Scienza dell'Alimentazione,Microbiota e salute immunitaria,0.1,0.1
Nutrizione e Scienza dell'Alimentazione,Intolleranze e allergie alimentari moderne,0.1,0.1
Nutrizione e Scienza dell'Alimentazione,Zuccheri raffinati e sindrome metabolica,0.1,0.1
Nutrizione e Scienza dell'Alimentazione,Proteine vegetali e futuro del cibo,0.1,0.1
Nutrizione e Scienza dell'Alimentazione,Gastronomia molecolare,0.1,0.1
Nutrizione e Scienza dell'Alimentazione,Sicurezza alimentare globale,0.1,0.1
Nutrizione e Scienza dell'Alimentazione,Idratazione e performance cognitiva,0.1,0.1
Letteratura e Scrittura,Il genere Distopico nel Novecento,0.1,0.1
Letteratura e Scrittura,Poesia contemporanea e Slam Poetry,0.1,0.1
Letteratura e Scrittura,Scrittura creativa e world-building,0.1,0.1
Letteratura e Scrittura,Letteratura post-coloniale,0.1,0.1
Letteratura e Scrittura,Il ruolo dei premi letterari,0.1,0.1
Letteratura e Scrittura,Self-publishing e rivoluzione digitale,0.1,0.1
Letteratura e Scrittura,Analisi del testo e critica letteraria,0.1,0.1
Letteratura e Scrittura,Letteratura per l'infanzia e formazione,0.1,0.1
Letteratura e Scrittura,Romanzo storico vs. Realismo magico,0.1,0.1
Letteratura e Scrittura,Traduzione editoriale e sfide linguistiche,0.1,0.1
Fisica Moderna,Meccanica Quantistica e entanglement,0.1,0.1
Fisica Moderna,Relatività Generale di Einstein,0.1,0.1
Fisica Moderna,Materia Oscura ed Energia Oscura,0.1,0.1
Fisica Moderna,Fisica delle particelle (CERN),0.1,0.1
Fisica Moderna,Teoria delle Stringhe,0.1,0.1
Fisica Moderna,Termodinamica e freccia del tempo,0.1,0.1
Fisica Moderna,Fusione nucleare controllata,0.1,0.1
Fisica Moderna,Onde gravizionali,0.1,0.1
Fisica Moderna,Multiverso e cosmologia inflazionaria,0.1,0.1
Fisica Moderna,Fisica del caos e sistemi complessi,0.1,0.1
Sport e Performance Umana,Scienza dell'allenamento e biomeccanica,0.1,0.1
Sport e Performance Umana,Psicologia dello sport e peak performance,0.1,0.1
Sport e Performance Umana,Doping tecnologico e bioetica,0.1,0.1
Sport e Performance Umana,Evoluzione degli eSports,0.1,0.1
Sport e Performance Umana,"Metodi di recupero (crioterapia, ossigeno)",0.1,0.1
Sport e Performance Umana,Analisi dei dati (Big Data) nelle squadre,0.1,0.1
Sport e Performance Umana,Nutrizione sportiva d'élite,0.1,0.1
Sport e Performance Umana,Sport estremi e gestione del rischio,0.1,0.1
Sport e Performance Umana,Il ruolo sociale delle Olimpiadi,0.1,0.1
Sport e Performance Umana,Allenamento mentale e visualizzazione,0.1,0.1
Istruzione e Apprendimento,EdTech: tecnologia in aula,0.1,0.1
Istruzione e Apprendimento,Apprendimento permanente (Lifelong learning),0.1,0.1
Istruzione e Apprendimento,Metodo Montessori e approcci alternativi,0.1,0.1
Istruzione e Apprendimento,Gamification dei processi educativi,0.1,0.1
Istruzione e Apprendimento,Neuroscienze dell'apprendimento,0.1,0.1
Istruzione e Apprendimento,Soft Skills vs. Hard Skills,0.1,0.1
Istruzione e Apprendimento,Il futuro delle università,0.1,0.1
Istruzione e Apprendimento,Homeschooling e apprendimento autodiretto,0.1,0.1
Istruzione e Apprendimento,Alfabetizzazione digitale e media education,0.1,0.1
Istruzione e Apprendimento,Insegnamento inclusivo e BES,0.1,0.1
Robotica e Automazione,Robot umanoidi e mimica facciale,0.1,0.1
Robotica e Automazione,Droni per logistica e sorveglianza,0.1,0.1
Robotica e Automazione,Esoscheletri per riabilitazione e lavoro,0.1,0.1
Robotica e Automazione,Robotica sottomarina (esplorazione abissale),0.1,0.1
Robotica e Automazione,Sciami di robot (Swarm Intelligence),0.1,0.1
Robotica e Automazione,Automazione nei processi industriali (Industria 5.0),0.1,0.1
Robotica e Automazione,Robotica educativa per bambini,0.1,0.1
Robotica e Automazione,Chirurgia robotica mininvasiva,0.1,0.1
Robotica e Automazione,Manutenzione predittiva tramite sensori,0.1,0.1
Robotica e Automazione,Robot per l'assistenza agli anziani,0.1,0.1
Design e Architettura d'Interni,Minimalismo e stile Scandinavo/Japandi,0.1,0.1
Design e Architettura d'Interni,Design biofilico (integrare la natura),0.1,0.1
Design e Architettura d'Interni,Psicologia del colore negli ambienti,0.1,0.1
Design e Architettura d'Interni,Illuminotecnica e benessere circadiano,0.1,0.1
Design e Architettura d'Interni,Ergonomia nel lavoro da casa (Home Office),0.1,0.1
Design e Architettura d'Interni,Materiali di recupero nel design d'arredo,0.1,0.1
Design e Architettura d'Interni,Domotica e Smart Home integrate,0.1,0.1
Design e Architettura d'Interni,Tiny Houses e ottimizzazione degli spazi,0.1,0.1
Design e Architettura d'Interni,Design inclusivo e universale,0.1,0.1
Design e Architettura d'Interni,Storia del design: dal Bauhaus al Postmoderno,0.1,0.1
Sociologia Contemporanea,Tribalismo digitale e camere dell'eco,0.1,0.1
Sociologia Contemporanea,Solitudine e isolamento nelle grandi città,0.1,0.1
Sociologia Contemporanea,Nuove strutture familiari e relazionali,0.1,0.1
Sociologia Contemporanea,"L'impatto dei ""Nomadi Digitali"" sulle comunità locali",0.1,0.1
Sociologia Contemporanea,Cultura della cancellazione (Cancel Culture),0.1,0.1
Sociologia Contemporanea,Divario generazionale (Boomer vs Gen Z),0.1,0.1
Sociologia Contemporanea,"Il concetto di ""Terzi Luoghi"" (piazze, caffè, parchi)",0.1,0.1
Sociologia Contemporanea,Sociologia del tempo e della velocità,0.1,0.1
Sociologia Contemporanea,Mobilità sociale e meritocrazia,0.1,0.1
Sociologia Contemporanea,Culture giovanili e sottoculture urbane,0.1,0.1
Astronomia e Astrofisica,Ciclo di vita delle stelle: dalle nebulose alle nane bianche,0.1,0.1
Astronomia e Astrofisica,Buchi neri e orizzonte degli eventi,0.1,0.1
Astronomia e Astrofisica,Pulsar e Magnetar,0.1,0.1
Astronomia e Astrofisica,L'espansione dell'universo e la costante di Hubble,0.1,0.1
Astronomia e Astrofisica,Radiazione cosmica di fondo,0.1,0.1
Astronomia e Astrofisica,Formazione dei sistemi planetari,0.1,0.1
Astronomia e Astrofisica,Galassie attive e Quasar,0.1,0.1
Astronomia e Astrofisica,Astrochimica: molecole organiche nello spazio,0.1,0.1
Astronomia e Astrofisica,Eventi cataclismatici (Supernovae e Gamma-ray bursts),0.1,0.1
Astronomia e Astrofisica,La freccia del tempo in cosmologia,0.1,0.1
Gastronomia e Culture Culinarie,"Fermentazione (Koji, Kombucha, Kimchi)",0.1,0.1
Gastronomia e Culture Culinarie,Storia delle spezie e rotte commerciali,0.1,0.1
Gastronomia e Culture Culinarie,Cucina Fusion e identità culturale,0.1,0.1
Gastronomia e Culture Culinarie,Street Food come patrimonio dell'umanità,0.1,0.1
Gastronomia e Culture Culinarie,Enologia: terroir e vitigni autoctoni,0.1,0.1
Gastronomia e Culture Culinarie,Caffè specialty e tecniche di estrazione,0.1,0.1
Gastronomia e Culture Culinarie,Panificazione con lievito madre,0.1,0.1
Gastronomia e Culture Culinarie,Pasticceria tecnica e bilanciamento chimico,0.1,0.1
Gastronomia e Culture Culinarie,Umami: il quinto gusto,0.1,0.1
Gastronomia e Culture Culinarie,Spreco alimentare e cucina degli scarti,0.1,0.1
Ingegneria e Grandi Opere,Ponti sospesi e strallati di nuova generazione,0.1,0.1
Ingegneria e Grandi Opere,Tunnel sottomarini e transcontinentali,0.1,0.1
Ingegneria e Grandi Opere,Grattacieli antisismici e smorzatori di massa,0.1,0.1
Ingegneria e Grandi Opere,Dighe e gestione delle risorse idriche,0.1,0.1
Ingegneria e Grandi Opere,Infrastrutture per l'Hyperloop,0.1,0.1
Ingegneria e Grandi Opere,Aeroporti del futuro e gestione dei flussi,0.1,0.1
Ingegneria e Grandi Opere,Ingegneria geotecnica e stabilità dei suoli,0.1,0.1
Ingegneria e Grandi Opere,Grandi telescopi terrestri (ELT),0.1,0.1
Ingegneria e Grandi Opere,Centrali a fissione nucleare di IV generazione,0.1,0.1
Ingegneria e Grandi Opere,Decommissioning di vecchie strutture industriali,0.1,0.1
Lingue e Linguistica,Origine del linguaggio e protolingue,0.1,0.1
Lingue e Linguistica,Dialetti e preservazione delle lingue in estinzione,0.1,0.1
Lingue e Linguistica,Semantica e pragmatica della comunicazione,0.1,0.1
Lingue e Linguistica,Evoluzione dello slang su internet,0.1,0.1
Lingue e Linguistica,Apprendimento delle lingue in età adulta,0.1,0.1
Lingue e Linguistica,Linguaggio dei segni e comunicazione visiva,0.1,0.1
Lingue e Linguistica,Traduzione automatica e limiti neurale,0.1,0.1
Lingue e Linguistica,Etimologia delle parole comuni,0.1,0.1
Lingue e Linguistica,Bilinguismo e sviluppo cognitivo,0.1,0.1
Lingue e Linguistica,Costruzione di lingue artificiali (Conlangs come l'Esperanto),0.1,0.1
Fotografia e Arti Visive,Fotografia analogica vs Digitale,0.1,0.1
Fotografia e Arti Visive,Composizione e regola dei terzi,0.1,0.1
Fotografia e Arti Visive,Fotogiornalismo ed etica dell'immagine,0.1,0.1
Fotografia e Arti Visive,Astrofotografia: catturare il cielo profondo,0.1,0.1
Fotografia e Arti Visive,Post-produzione cinematografica (Color Grading),0.1,0.1
Fotografia e Arti Visive,Street Photography e diritto alla privacy,0.1,0.1
Fotografia e Arti Visive,Fotografia macro e naturalistica,0.1,0.1
Fotografia e Arti Visive,Uso della luce naturale vs Luce flash,0.1,0.1
Fotografia e Arti Visive,Storia della fotografia: dai dagherrotipi a Instagram,0.1,0.1
Fotografia e Arti Visive,Esposizione lunga e tecniche creative,0.1,0.1
Scienze del Mare (Oceanografia),Correnti oceaniche e regolazione climatica,0.1,0.1
Scienze del Mare (Oceanografia),Barriere coralline e sbiancamento,0.1,0.1
Scienze del Mare (Oceanografia),Fauna abissale e adattamenti estremi,0.1,0.1
Scienze del Mare (Oceanografia),Acidificazione degli oceani,0.1,0.1
Scienze del Mare (Oceanografia),Energie dal mare (moto ondoso e maree),0.1,0.1
Scienze del Mare (Oceanografia),Archeologia marina e relitti,0.1,0.1
Scienze del Mare (Oceanografia),Zone morte (ipossia) negli oceani,0.1,0.1
Scienze del Mare (Oceanografia),Migrazioni dei grandi cetacei,0.1,0.1
Scienze del Mare (Oceanografia),Geologia dei fondali e tettonica delle placche,0.1,0.1
Scienze del Mare (Oceanografia),Risorse minerarie sottomarine,0.1,0.1
Gestione del Tempo e Produttività,Tecnica del Pomodoro e blocchi di tempo,0.1,0.1
Gestione del Tempo e Produttività,"Metodo ""Getting Things Done"" (GTD)",0.1,0.1
Gestione del Tempo e Produttività,Deep Work e concentrazione intensa,0.1,0.1
Gestione del Tempo e Produttività,Eliminazione delle distrazioni digitali,0.1,0.1
Gestione del Tempo e Produttività,Matrice di Eisenhower (Urgente vs Importante),0.1,0.1
Gestione del Tempo e Produttività,Gestione dell'energia vs Gestione del tempo,0.1,0.1
Gestione del Tempo e Produttività,Routine mattutine e serali dei top performer,0.1,0.1
Gestione del Tempo e Produttività,Delega ed esternalizzazione efficace,0.1,0.1
Gestione del Tempo e Produttività,"Strumenti di Project Management (Notion, Trello, Asana)",0.1,0.1
Gestione del Tempo e Produttività,Psicologia della procrastinazione,0.1,0.1
Archeologia e Misteri del Passato,"Metodi di datazione (Carbonio-14, Dendrocronologia)",0.1,0.1
Archeologia e Misteri del Passato,"Civiltà perdute (Doggerland, Atlantide tra mito e realtà)",0.1,0.1
Archeologia e Misteri del Passato,Geroglifici e decifrazione di lingue morte,0.1,0.1
Archeologia e Misteri del Passato,Grandi migrazioni umane nella preistoria,0.1,0.1
Archeologia e Misteri del Passato,Megalitismo: Stonehenge e Gobekli Tepe,0.1,0.1
Archeologia e Misteri del Passato,Tecniche costruttive degli antichi,0.1,0.1
Archeologia e Misteri del Passato,Scoperte archeologiche recenti tramite satelliti (Lidar),0.1,0.1
Archeologia e Misteri del Passato,Evoluzione umana: Neanderthal e Denisova,0.1,0.1
Archeologia e Misteri del Passato,Tesori sommersi e rotte commerciali antiche,0.1,0.1
Archeologia e Misteri del Passato,Museologia e rimpatrio dei reperti,0.1,0.1
Matematica Applicata e Teoria,Teoria del Caos e l'effetto farfalla,0.1,0.1
Matematica Applicata e Teoria,Numeri primi e crittografia RSA,0.1,0.1
Matematica Applicata e Teoria,La sezione aurea in natura e nell'arte,0.1,0.1
Matematica Applicata e Teoria,Geometria frattale,0.1,0.1
Matematica Applicata e Teoria,Probabilità e statistica nel gioco d'azzardo,0.1,0.1
Matematica Applicata e Teoria,Topologia: la scienza delle forme deformabili,0.1,0.1
Matematica Applicata e Teoria,Teoria dei grafi e reti sociali,0.1,0.1
Matematica Applicata e Teoria,Grandi problemi irrisolti (Ipotesi di Riemann),0.1,0.1
Matematica Applicata e Teoria,Algoritmi di ordinamento e ricerca,0.1,0.1
Matematica Applicata e Teoria,Matematica finanziaria e derivati,0.1,0.1
Moda e Costume,Storia del costume dal Rinascimento al '900,0.1,0.1
Moda e Costume,Alta moda vs Prêt-à-porter,0.1,0.1
Moda e Costume,Tessuti tecnologici e wearable tech,0.1,0.1
Moda e Costume,Psicologia dell'abbigliamento,0.1,0.1
Moda e Costume,Il mercato del vintage e del second-hand,0.1,0.1
Moda e Costume,Produzione tessile e impatto ambientale,0.1,0.1
Moda e Costume,L'influenza delle icone pop sulla moda,0.1,0.1
Moda e Costume,Trend forecasting: come nascono le tendenze,0.1,0.1
Moda e Costume,Accessori e il loro valore simbolico,0.1,0.1
Moda e Costume,Fashion branding e comunicazione visiva,0.1,0.1
Botanica e Giardinaggio,Fisiologia vegetale: come respirano le piante,0.1,0.1
Botanica e Giardinaggio,Piante grasse e adattamenti ai climi aridi,0.1,0.1
Botanica e Giardinaggio,Orticoltura urbana e idroponica domestica,0.1,0.1
Botanica e Giardinaggio,Funghi e reti miceliali (Wood Wide Web),0.1,0.1
Botanica e Giardinaggio,Tecniche di potatura e innesto,0.1,0.1
Botanica e Giardinaggio,Giardini zen e paesaggismo giapponese,0.1,0.1
Botanica e Giardinaggio,Piante officinali e fitoterapia,0.1,0.1
Botanica e Giardinaggio,Impollinatori e declino delle api,0.1,0.1
Botanica e Giardinaggio,Bonsai: l'arte degli alberi in miniatura,0.1,0.1
Botanica e Giardinaggio,Specie aliene invasive e biodiversità locale,0.1,0.1
Religioni e Spiritualità,Storia delle grandi religioni monoteiste,0.1,0.1
Religioni e Spiritualità,"Filosofie orientali (Buddhismo, Taoismo, Induismo)",0.1,0.1
Religioni e Spiritualità,Mitologia norrena e celtica,0.1,0.1
Religioni e Spiritualità,Nuovi movimenti religiosi contemporanei,0.1,0.1
Religioni e Spiritualità,Sciamanesimo e riti di passaggio,0.1,0.1
Religioni e Spiritualità,Sociologia della secolarizzazione,0.1,0.1
Religioni e Spiritualità,Il concetto di anima nelle diverse culture,0.1,0.1
Religioni e Spiritualità,"Architettura sacra: cattedrali, moschee e templi",0.1,0.1
Religioni e Spiritualità,Meditazione trascendentale e preghiera,0.1,0.1
Religioni e Spiritualità,Rapporto tra scienza e fede,0.1,0.1
Criminologia e Diritto,Psicologia criminale e profiling,0.1,0.1
Criminologia e Diritto,Tecniche di investigazione scientifica (Forensics),0.1,0.1
Criminologia e Diritto,Storia della pena e dei sistemi carcerari,0.1,0.1
